GeoFips,GeoName,LineCode,Description,2019
01,Alabama,4,      Food and nonalcoholic beverages purchased for off-premises consumption,12097.9
01,Alabama,5,      Alcoholic beverages purchased for off-premises consumption,1748.4
01,Alabama,7,"    Clothing, footwear, and related services",5263.5
01,Alabama,18,"    Housing, utilities, and fuels",31287.7
01,Alabama,37,    Health,41466.5
01,Alabama,53,    Transportation,17290.5
01,Alabama,54,      Motor vehicles,6882.8
01,Alabama,73,    Recreation,13558.9
01,Alabama,95,    Education,3643.4
01,Alabama,96,      Educational books,6
01,Alabama,97,      Higher education,2574.8
01,Alabama,98,"      Nursery, elementary, and secondary schools",545.3
01,Alabama,99,      Commercial and vocational schools,517.2
01,Alabama,100,    Food services and accommodations,12048.2
01,Alabama,127,      Tobacco,1518.6
02,Alaska,4,      Food and nonalcoholic beverages purchased for off-premises consumption,2291.6
02,Alaska,5,      Alcoholic beverages purchased for off-premises consumption,486.7
02,Alaska,7,"    Clothing, footwear, and related services",717.5
02,Alaska,18,"    Housing, utilities, and fuels",6215.1
02,Alaska,37,    Health,9445.7
02,Alaska,53,    Transportation,3204.8
02,Alaska,54,      Motor vehicles,980.6
02,Alaska,73,    Recreation,3789.4
02,Alaska,95,    Education,699.5
02,Alaska,96,      Educational books,3.9
02,Alaska,97,      Higher education,414.1
02,Alaska,98,"      Nursery, elementary, and secondary schools",157.4
02,Alaska,99,      Commercial and vocational schools,124.1
02,Alaska,100,    Food services and accommodations,2693.3
02,Alaska,127,      Tobacco,347.6
04,Arizona,4,      Food and nonalcoholic beverages purchased for off-premises consumption,17576.9
04,Arizona,5,      Alcoholic beverages purchased for off-premises consumption,3204.6
04,Arizona,7,"    Clothing, footwear, and related services",8062.8
04,Arizona,18,"    Housing, utilities, and fuels",54478.7
04,Arizona,37,    Health,58781.8
04,Arizona,53,    Transportation,30822.7
04,Arizona,54,      Motor vehicles,9999.8
04,Arizona,73,    Recreation,26496.4
04,Arizona,95,    Education,5637.6
04,Arizona,96,      Educational books,40.6
04,Arizona,97,      Higher education,3440.9
04,Arizona,98,"      Nursery, elementary, and secondary schools",668.7
04,Arizona,99,      Commercial and vocational schools,1487.3
04,Arizona,100,    Food services and accommodations,22736.2
04,Arizona,127,      Tobacco,2120.8
05,Arkansas,4,      Food and nonalcoholic beverages purchased for off-premises consumption,6560.3
05,Arkansas,5,      Alcoholic beverages purchased for off-premises consumption,1166.6
05,Arkansas,7,"    Clothing, footwear, and related services",3212.2
05,Arkansas,18,"    Housing, utilities, and fuels",17347
05,Arkansas,37,    Health,24733.6
05,Arkansas,53,    Transportation,10419.5
05,Arkansas,54,      Motor vehicles,3780
05,Arkansas,73,    Recreation,7485.4
05,Arkansas,95,    Education,1941
05,Arkansas,96,      Educational books,30.3
05,Arkansas,97,      Higher education,1332.3
05,Arkansas,98,"      Nursery, elementary, and secondary schools",397.4
05,Arkansas,99,      Commercial and vocational schools,181.1
05,Arkansas,100,    Food services and accommodations,6346
05,Arkansas,127,      Tobacco,999.5
06,California,4,      Food and nonalcoholic beverages purchased for off-premises consumption,109154.2
06,California,5,      Alcoholic beverages purchased for off-premises consumption,18562.4
06,California,7,"    Clothing, footwear, and related services",63015.3
06,California,18,"    Housing, utilities, and fuels",360349
06,California,37,    Health,382332.1
06,California,53,    Transportation,167361.1
06,California,54,      Motor vehicles,42379
06,California,73,    Recreation,185524.1
06,California,95,    Education,42564.3
06,California,96,      Educational books,2001.7
06,California,97,      Higher education,24550.1
06,California,98,"      Nursery, elementary, and secondary schools",6499.3
06,California,99,      Commercial and vocational schools,9513.1
06,California,100,    Food services and accommodations,149250.1
06,California,127,      Tobacco,8154.8
08,Colorado,4,      Food and nonalcoholic beverages purchased for off-premises consumption,17007
08,Colorado,5,      Alcoholic beverages purchased for off-premises consumption,3612.5
08,Colorado,7,"    Clothing, footwear, and related services",7545.7
08,Colorado,18,"    Housing, utilities, and fuels",54895.4
08,Colorado,37,    Health,49193.9
08,Colorado,53,    Transportation,26197.2
08,Colorado,54,      Motor vehicles,7494.7
08,Colorado,73,    Recreation,29840.2
08,Colorado,95,    Education,5379
08,Colorado,96,      Educational books,60.5
08,Colorado,97,      Higher education,3068
08,Colorado,98,"      Nursery, elementary, and secondary schools",871.3
08,Colorado,99,      Commercial and vocational schools,1379.2
08,Colorado,100,    Food services and accommodations,22092.3
08,Colorado,127,      Tobacco,2033.2
09,Connecticut,4,      Food and nonalcoholic beverages purchased for off-premises consumption,10580.9
09,Connecticut,5,      Alcoholic beverages purchased for off-premises consumption,1590.2
09,Connecticut,7,"    Clothing, footwear, and related services",4799
09,Connecticut,18,"    Housing, utilities, and fuels",31875.6
09,Connecticut,37,    Health,38483.8
09,Connecticut,53,    Transportation,15335.7
09,Connecticut,54,      Motor vehicles,4428.3
09,Connecticut,73,    Recreation,15428.5
09,Connecticut,95,    Education,5657.2
09,Connecticut,96,      Educational books,319.9
09,Connecticut,97,      Higher education,3696.6
09,Connecticut,98,"      Nursery, elementary, and secondary schools",808.7
