Year,ST_ABBR,Total_Taxes,STATE,NAME
2019,AL,"11,583,068",1,Alabama
2019,AK,"1,780,911",2,Alaska
2019,AZ,"18,163,903",4,Arizona
2019,AR,"10,217,866",5,Arkansas
2019,CA,"188,235,271",6,California
2019,CO,"15,869,834",8,Colorado
2019,CT,"19,131,944",9,Connecticut
2019,DE,"4,596,190",10,Delaware
2019,FL,"44,799,831",12,Florida
2019,GA,"24,723,046",13,Georgia
2019,HI,"8,207,524",15,Hawaii
2019,ID,"4,870,128",16,Idaho
2019,IL,"45,453,840",17,Illinois
2019,IN,"22,968,677",18,Indiana
2019,IA,"10,583,869",19,Iowa
2019,KS,"10,030,158",20,Kansas
2019,KY,"13,081,932",21,Kentucky
2019,LA,"11,748,609",22,Louisiana
2019,ME,"4,674,441",23,Maine
2019,MD,"23,606,217",24,Maryland
2019,MA,"31,805,410",25,Massachusetts
2019,MI,"30,270,130",26,Michigan
2019,MN,"28,175,795",27,Minnesota
2019,MS,"8,288,883",28,Mississippi
2019,MO,"13,181,385",29,Missouri
2019,MT,"3,168,557",30,Montana
2019,NE,"5,754,834",31,Nebraska
2019,NV,"9,744,547",32,Nevada
2019,NH,"2,992,802",33,New Hampshire
2019,NJ,"38,449,650",34,New Jersey
2019,NM,"7,427,622",35,New Mexico
2019,NY,"85,368,973",36,New York
2019,NC,"29,324,429",37,North Carolina
2019,ND,"4,969,744",38,North Dakota
2019,OH,"30,686,938",39,Ohio
2019,OK,"10,816,166",40,Oklahoma
2019,OR,"14,006,376",41,Oregon
2019,PA,"43,132,450",42,Pennsylvania
2019,RI,"3,560,293",44,Rhode Island
2019,SC,"11,221,043",45,South Carolina
2019,SD,"1,940,415",46,South Dakota
2019,TN,"16,450,938",47,Tennessee
2019,TX,"63,314,370",48,Texas
2019,UT,"9,918,773",49,Utah
2019,VT,"3,470,585",50,Vermont
2019,VA,"27,076,451",51,Virginia
2019,WA,"27,992,437",53,Washington
2019,WV,"5,816,816",54,West Virginia
2019,WI,"19,930,137",55,Wisconsin
2019,WY,"2,110,704",56,Wyoming
